Material type,ISBN,Name,All names,Title,Variant titles,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Volume,,Lewis Allan,Roald Dahl ; Lewis Allan,"The Soldier : opera in three scenes based on a story by Roald Dahl. Libretto by L. Allan, etc",,United States of America,Chappell,1956,,,,English
Volume,,Roald Dahl,Walt Disney Productions ; Roald Dahl,The Gremlins : from the Walt Disney production. A Royal Air Force story,,England ; Scotland,Collins,1944,,,,English
Volume,,Roald Dahl,,Kiss Kiss,,England,Michael Joseph ; Penguin,1962,,,,English
Volume,,Roald Dahl,,Over to you : 10 stories of flyers and flying,,United States of America,Reynal & Hitchcock,1946,,,,English
Volume,,Roald Dahl,,Over to you : 10 stories of flyers and flying,,England,Hamish Hamilton,1946,,,,English
Volume,,Roald Dahl,,Someone like you,,England,New English Library,1965,,,,English
Volume,,Roald Dahl,Jean Fayard ; Roald Dahl,L'Homme du Sud,Someone like you. Selections. French,,,1955,,,,French
Volume,,Roald Dahl,Pierre Caillaud ; Roald Dahl,Nunc dimittis ... (Le Serpent.) Traduction de Pierre Caillaud,Someone like you. Selections. French,,,1957,,,,French
Volume,,Roald Dahl,,Sometime never,,England,Collins,1949,,,Fiction,English
Volume,,Roald Dahl,,"Kiss, kiss",,England,Penguin,1969,,,,English
Volume,9780140868678,Roald Dahl,Roald Dahl ; Quentin Blake,Danny : the champion of the world,,England,Puffin,1994,,,,English
Volume,9780141311319,Roald Dahl,Roald Dahl ; Quentin Blake,The complete adventures of Charlie and Mr Willy Wonka,Charlie and the chocolate factory ; The great glass elevator,England,Puffin,2001,New edition,"Charlie (Fictitious character)--Juvenile fiction ; Children's stories, English",,English
Volume,9780048231512,Roald Dahl,Faith Jaques ; Roald Dahl,The complete adventures of Charlie and Mr Willy Wonka,Charlie and the chocolate factory ; Charlie and the great glass elevator,England,Allen & Unwin,1978,,"Children's stories ; Children's stories in English, 1900---Texts",,English
Volume,9781557420121 ; 9781557420138,Alan Warren,,Roald Dahl,,United States of America,Starmont House,1988,,"Children's stories, English--History and criticism ; Roald Dahl--Criticism and interpretation ; Children--Books and reading--Great Britain--History--20th century",,English
Volume,9780805770193,Mark I. West,,Roald Dahl,,United States of America,Maxwell Macmillan ; Twayne,1992,,"Children's stories, English--History and criticism ; Roald Dahl--Criticism and interpretation ; Children--Books and reading--Great Britain--History--20th century",,English
Volume,,Roald Dahl,,Tales of the unexpected. Vol. 1,,England,Penguin,1997,,Surprise--Fiction ; Black humor (Literature) ; Deception--Fiction,,English
Volume,9785815900639,Roald Dahl,,Rasskazy,"Kiss, kiss. Russian",Russia,Zakharov,2000,,,,Russian
Volume,9780044400745,Roald Dahl,,The complete adventures of Charlie and Mr Willy Wonka,Charlie and the chocolate factory ; Charlie and the great glass elevator,England,Unwin Hyman,1987,,Children's stories in English--1945---Texts,,English
Volume,9780140098204,Roald Dahl,,Completely unexpected tales,More Roald Dahl tales of the unexpected ; More tales of the Unexpected ; Roald Dahl's tales of the unexpected ; Tales of the unexpected,England,Penguin,1986,,Short stories in English--1945---Texts,,English
Volume,9780140382518,Roald Dahl,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,England,Puffin,1996,,English fiction--Children's stories,,English
Volume,9780141311418,Roald Dahl,Roald Dahl ; Quentin Blake,"Boy : and, Going solo",Going solo,England,Puffin,2001,,"Authors, English--20th century--Biography--Juvenile literature ; Roald Dahl",Biography ; Children's literature,English
Volume,9780237526214,Chris Powling,,Roald Dahl,,England,Evans,2003,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Volume,9780750243209,Jason Hook,,Roald Dahl,,England,Hodder Wayland,2003,,"Roald Dahl--Juvenile literature ; Novelists, English--Biography--Juvenile literature",Biography ; Children's literature,English
Volume,9780048231062,Roald Dahl,Faith Jaques ; Roald Dahl,Charlie and the great glass elevator,,England,Allen & Unwin,1973,,"Humorous stories ; Science fiction ; Outer space--Fiction ; Children's stories in English, 1900---Texts",Fiction,English
Volume,9780713658835,Matthew White,Georgs Pel?cis ; Matthew White ; Ana Sanderson ; Roald Dahl,Roald Dahl's Jack and the beanstalk : a gigantically amusing musical,Jack and the beanstalk,England,A. & C. Black,2001,,Roald Dahl--Adaptations ; Musicals,Adaptation,English
